          %pt            TT            TS            SS            SS2j            Tot
        0.100    3.99833E-01    2.00580E-04    8.23097E-04    5.64944E-05    4.00913E-01
        0.299    3.70176E-01    3.26578E-04    8.13389E-04    7.63588E-05    3.71392E-01
        0.498    3.18142E-01    6.19455E-04    1.12259E-03    1.07818E-04    3.19991E-01
        0.697    2.54894E-01    1.18489E-03    1.62552E-03    1.40578E-04    2.57845E-01
        0.896    1.91403E-01    2.12306E-03    2.26086E-03    1.72510E-04    1.95959E-01
        1.095    1.35519E-01    3.55588E-03    3.00111E-03    2.03968E-04    1.42280E-01
        1.294            NaN            NaN    3.83634E-03    2.35652E-04            NaN
        1.493            NaN            NaN    4.75221E-03    2.67509E-04            NaN
        1.692            NaN            NaN    5.71038E-03    2.98350E-04            NaN
        1.891            NaN            NaN    6.63757E-03    3.25969E-04            NaN
        2.090            NaN            NaN    7.42635E-03    3.47569E-04            NaN
        2.289            NaN            NaN    7.94866E-03    3.60329E-04            NaN
        2.488            NaN            NaN    8.08194E-03    3.61989E-04            NaN
        2.687            NaN            NaN    7.74659E-03    3.51382E-04            NaN
        2.886            NaN            NaN    6.95212E-03    3.28827E-04            NaN
        3.085            NaN            NaN    5.84375E-03    2.96349E-04            NaN
        3.284            NaN            NaN    4.71568E-03    2.31220E-04            NaN
        3.483            NaN            NaN    3.80584E-03    1.55737E-04            NaN
        3.682            NaN            NaN    3.09040E-03    1.06402E-04            NaN
        3.881            NaN            NaN    2.52417E-03    7.36643E-05            NaN
        4.080            NaN            NaN    2.07323E-03    5.16331E-05            NaN
        4.279            NaN            NaN    1.71197E-03    3.66111E-05            NaN
        4.478            NaN            NaN    1.42087E-03    2.62417E-05            NaN
        4.677            NaN            NaN    1.18503E-03    1.90010E-05            NaN
        4.876            NaN            NaN    9.92932E-04    1.38901E-05            NaN
        5.075            NaN            NaN    8.35677E-04    1.02457E-05            NaN
        5.274            NaN            NaN    7.06318E-04    7.62184E-06            NaN
        5.473            NaN            NaN    5.99411E-04    5.71558E-06            NaN
        5.672            NaN            NaN    5.10663E-04    4.31874E-06            NaN
        5.871            NaN            NaN    4.36674E-04    3.28684E-06            NaN
        6.070            NaN            NaN    3.74737E-04    2.51863E-06            NaN
        6.269            NaN            NaN    3.22684E-04    1.94253E-06            NaN
        6.468            NaN            NaN    2.78771E-04    1.50748E-06            NaN
        6.667            NaN            NaN    2.41591E-04    1.17676E-06            NaN
        6.866            NaN            NaN    2.10001E-04    9.23764E-07            NaN
        7.065            NaN            NaN    1.83071E-04    7.29048E-07            NaN
        7.264            NaN            NaN    1.60039E-04    5.78322E-07            NaN
        7.463            NaN            NaN    1.40279E-04    4.61005E-07            NaN
        7.662            NaN            NaN    1.23276E-04    3.69209E-07            NaN
        7.861            NaN            NaN    1.08602E-04    2.97019E-07            NaN
        8.060            NaN            NaN    9.59030E-05    2.39972E-07            NaN
        8.259            NaN            NaN    8.48839E-05    1.94681E-07            NaN
        8.458            NaN            NaN    7.52973E-05    1.58564E-07            NaN
        8.657            NaN            NaN    6.69362E-05    1.29638E-07            NaN
        8.856            NaN            NaN    5.96261E-05    1.06376E-07            NaN
