          %pt            TT            TS            SS            SS2j            Tot
        0.200    6.52464E-03    6.42970E-06    6.62484E-07    1.15523E-07    6.53185E-03
        0.527    5.81993E-03    7.56742E-04    4.43920E-05    5.43099E-05    6.67537E-03
        0.853    4.63332E-03    6.12173E-03    2.74665E-04    7.71969E-04    1.18017E-02
        1.180    3.26199E-03    1.92901E-02    7.72053E-04    3.24800E-03    2.65722E-02
        1.507    2.02995E-03    3.75673E-02    1.46619E-03    7.40535E-03    4.84688E-02
        1.833    1.12560E-03    5.45779E-02    2.02046E-03    1.21285E-02    6.98525E-02
        2.160    5.63325E-04    6.45152E-02    2.07279E-03    1.66866E-02    8.38379E-02
        2.487    2.58103E-04    6.45741E-02    2.01380E-03    2.09670E-02    8.78130E-02
        2.813    1.09748E-04    5.56033E-02    1.91940E-03    2.50100E-02    8.26424E-02
        3.140    4.38321E-05    4.13323E-02    1.80359E-03    2.87566E-02    7.19363E-02
        3.467    1.66121E-05    2.64766E-02    1.67707E-03    3.20436E-02    6.02138E-02
        3.793    6.02545E-06    1.46991E-02    1.54759E-03    3.46651E-02    5.09178E-02
        4.120    2.10634E-06    7.44538E-03    1.42050E-03    3.64275E-02    4.52955E-02
        4.447    7.13730E-07    3.72968E-03    1.29918E-03    3.71912E-02    4.22207E-02
        4.773    2.35535E-07    1.86350E-03    1.18558E-03    3.69010E-02    3.99503E-02
        5.100    7.59926E-08    9.27433E-04    1.08059E-03    3.56049E-02    3.76130E-02
        5.427    2.40477E-08    4.59600E-04    9.84450E-04    3.34584E-02    3.49025E-02
        5.753    7.48364E-09    2.26826E-04    8.96954E-04    3.07162E-02    3.18399E-02
        6.080    2.29535E-09    1.11531E-04    8.17655E-04    2.76801E-02    2.86093E-02
        6.407    6.95163E-10    5.46642E-05    7.45974E-04    2.47540E-02    2.55546E-02
        6.733    2.08212E-10    2.67195E-05    6.81277E-04    2.21562E-02    2.28642E-02
        7.060    6.17559E-11    1.30309E-05    6.22921E-04    1.98493E-02    2.04852E-02
        7.387    1.81592E-11    6.34356E-06    5.70287E-04    1.78001E-02    1.83767E-02
        7.713    5.29880E-12    3.08364E-06    5.22794E-04    1.59790E-02    1.65048E-02
        8.040    1.53562E-12    1.49731E-06    4.79907E-04    1.43596E-02    1.48410E-02
        8.367    4.42308E-13    7.26440E-07    4.41137E-04    1.29187E-02    1.33605E-02
        8.693    1.26699E-13    3.52236E-07    4.06046E-04    1.16354E-02    1.20418E-02
        9.020    3.61127E-14    1.70728E-07    3.74242E-04    1.04916E-02    1.08660E-02
        9.347    1.02470E-14    8.27347E-08    3.45372E-04    9.47094E-03    9.81639E-03
        9.673    2.89577E-15    4.00910E-08    3.19127E-04    8.55931E-03    8.87848E-03
