          %pt            TT            TS            SS            SS2j            Tot
       10.000    4.61319E-17    4.89233E-11    1.40184E-07    6.74575E-07    8.14808E-07
       10.367    1.05685E-17    1.87291E-11    1.14248E-07    4.98273E-07    6.12540E-07
       10.733    2.41122E-18    7.20120E-12    9.36648E-08    3.71217E-07    4.64889E-07
       11.100    5.48069E-19    2.78043E-12    7.72199E-08    2.78812E-07    3.56035E-07
       11.467    1.24153E-19    1.07789E-12    6.39981E-08    2.11024E-07    2.75024E-07
       11.833    2.80367E-20    4.19491E-13    5.33036E-08    1.60886E-07    2.14190E-07
       12.200    6.31342E-21    1.63870E-13    4.46040E-08    1.23512E-07    1.68117E-07
       12.567    1.41798E-21    6.42455E-14    3.74887E-08    9.54461E-08    1.32935E-07
       12.933    3.17714E-22    2.52753E-14    3.16391E-08    7.42203E-08    1.05859E-07
       13.300    7.10303E-23    9.97708E-15    2.68065E-08    5.80596E-08    8.48660E-08
       13.667    1.58477E-23    3.95105E-15    2.27951E-08    4.56763E-08    6.84715E-08
       14.033    3.52915E-24    1.56954E-15    1.94507E-08    3.61294E-08    5.55801E-08
       14.400    7.84540E-25    6.25365E-16    1.66502E-08    2.87260E-08    4.53763E-08
       14.767    1.74123E-25    2.49891E-16    1.42957E-08    2.29529E-08    3.72485E-08
       15.133    3.85870E-26    1.00134E-16    1.23083E-08    1.84268E-08    3.07351E-08
       15.500    8.53919E-27    4.02328E-17    1.06244E-08    1.48602E-08    2.54847E-08
       15.867    1.88722E-27    1.62073E-17    9.19264E-09    1.20360E-08    2.12286E-08
       16.233    4.16577E-28    6.54530E-18    7.97092E-09    9.78904E-09    1.77600E-08
       16.600    9.18481E-29    2.64975E-18    6.92497E-09    7.99330E-09    1.49183E-08
       16.967    2.02292E-29    1.07522E-18    6.02662E-09    6.55193E-09    1.25785E-08
       17.333    4.45090E-30    4.37299E-19    5.25266E-09    5.39018E-09    1.06428E-08
       17.700    9.78376E-31    1.78243E-19    4.58389E-09    4.45005E-09    9.03394E-09
       18.067    2.14870E-31    7.28063E-20    4.00435E-09    3.68634E-09    7.69069E-09
       18.433    4.71500E-32    2.98003E-20    3.50076E-09    3.06363E-09    6.56440E-09
       18.800    1.03381E-32    1.22219E-20    3.06203E-09    2.55409E-09    5.61612E-09
       19.167    2.26506E-33    5.02221E-21    2.67885E-09    2.13570E-09    4.81455E-09
       19.533    4.95916E-34    2.06759E-21    2.34338E-09    1.79103E-09    4.13441E-09
       19.900    1.08504E-34    8.52755E-22    2.04905E-09    1.50617E-09    3.55522E-09
       20.267    2.37252E-35    3.52330E-22    1.79027E-09    1.27002E-09    3.06029E-09
       20.633    5.18456E-36    1.45820E-22    1.56233E-09    1.07367E-09    2.63600E-09
