          %pt            TT            TS            SS            SS2j            Tot
        0.100    0.00000E+00    0.00000E+00    0.00000E+00    1.36623E-08    1.36623E-08
        0.299    0.00000E+00    0.00000E+00    0.00000E+00    1.13360E-07    1.13360E-07
        0.498    0.00000E+00    0.00000E+00    0.00000E+00    3.77754E-07    3.77754E-07
        0.697    0.00000E+00    0.00000E+00    0.00000E+00    8.56472E-07    8.56472E-07
        0.896    0.00000E+00    0.00000E+00    0.00000E+00    1.57663E-06    1.57663E-06
        1.095    0.00000E+00    0.00000E+00    0.00000E+00    2.56127E-06    2.56127E-06
        1.294    0.00000E+00    0.00000E+00    0.00000E+00    3.83277E-06    3.83277E-06
        1.493    0.00000E+00    0.00000E+00    0.00000E+00    5.40121E-06    5.40121E-06
        1.692    0.00000E+00    0.00000E+00    0.00000E+00    7.24506E-06    7.24506E-06
        1.891    0.00000E+00    0.00000E+00    0.00000E+00    9.29380E-06    9.29380E-06
        2.090    0.00000E+00    0.00000E+00    0.00000E+00    1.14214E-05    1.14214E-05
        2.289    0.00000E+00    0.00000E+00    0.00000E+00    1.34563E-05    1.34563E-05
        2.488    0.00000E+00    0.00000E+00    0.00000E+00    1.52096E-05    1.52096E-05
        2.687    0.00000E+00    0.00000E+00    0.00000E+00    1.65178E-05    1.65178E-05
        2.886    0.00000E+00    0.00000E+00    0.00000E+00    1.17730E-05    1.17730E-05
        3.085    0.00000E+00    0.00000E+00    0.00000E+00    8.24962E-06    8.24962E-06
        3.284    0.00000E+00    0.00000E+00    0.00000E+00    5.84221E-06    5.84221E-06
        3.483    0.00000E+00    0.00000E+00    0.00000E+00    4.17862E-06    4.17862E-06
        3.682    0.00000E+00    0.00000E+00    0.00000E+00    3.01696E-06    3.01696E-06
        3.881    0.00000E+00    0.00000E+00    0.00000E+00    2.19777E-06    2.19777E-06
        4.080    0.00000E+00    0.00000E+00    0.00000E+00    1.61468E-06    1.61468E-06
        4.279    0.00000E+00    0.00000E+00    0.00000E+00    1.19594E-06    1.19594E-06
